"","date","dc","wday","month","year","week","summer"
"1",2016-01-01,0,"Fri","1",2016,"1","winter"
"2",2016-01-02,0,"Sat","1",2016,"1","winter"
"3",2016-01-03,0,"Sun","1",2016,"1","winter"
"4",2016-01-04,0,"Mon","1",2016,"1","winter"
"5",2016-01-05,0,"Tue","1",2016,"1","winter"
"6",2016-01-06,0,"Wed","1",2016,"1","winter"
"7",2016-01-07,0,"Thu","1",2016,"1","winter"
"8",2016-01-08,0,"Fri","1",2016,"2","winter"
"9",2016-01-09,0,"Sat","1",2016,"2","winter"
"10",2016-01-10,0,"Sun","1",2016,"2","winter"
"11",2016-01-11,0,"Mon","1",2016,"2","winter"
"12",2016-01-12,1,"Tue","1",2016,"2","winter"
"13",2016-01-13,0,"Wed","1",2016,"2","winter"
"14",2016-01-14,0,"Thu","1",2016,"2","winter"
"15",2016-01-15,2,"Fri","1",2016,"3","winter"
"16",2016-01-16,0,"Sat","1",2016,"3","winter"
"17",2016-01-17,1,"Sun","1",2016,"3","winter"
"18",2016-01-18,0,"Mon","1",2016,"3","winter"
"19",2016-01-19,1,"Tue","1",2016,"3","winter"
"20",2016-01-20,1,"Wed","1",2016,"3","winter"
"21",2016-01-21,0,"Thu","1",2016,"3","winter"
"22",2016-01-22,1,"Fri","1",2016,"4","winter"
"23",2016-01-23,1,"Sat","1",2016,"4","winter"
"24",2016-01-24,1,"Sun","1",2016,"4","winter"
"25",2016-01-25,3,"Mon","1",2016,"4","winter"
"26",2016-01-26,0,"Tue","1",2016,"4","winter"
"27",2016-01-27,0,"Wed","1",2016,"4","winter"
"28",2016-01-28,1,"Thu","1",2016,"4","winter"
"29",2016-01-29,0,"Fri","1",2016,"5","winter"
"30",2016-01-30,1,"Sat","1",2016,"5","winter"
"31",2016-01-31,0,"Sun","1",2016,"5","winter"
"32",2016-02-01,1,"Mon","2",2016,"5","winter"
"33",2016-02-02,0,"Tue","2",2016,"5","winter"
"34",2016-02-03,0,"Wed","2",2016,"5","winter"
"35",2016-02-04,0,"Thu","2",2016,"5","winter"
"36",2016-02-05,1,"Fri","2",2016,"6","winter"
"37",2016-02-06,0,"Sat","2",2016,"6","winter"
"38",2016-02-07,0,"Sun","2",2016,"6","winter"
"39",2016-02-08,1,"Mon","2",2016,"6","winter"
"40",2016-02-09,2,"Tue","2",2016,"6","winter"
"41",2016-02-10,0,"Wed","2",2016,"6","winter"
"42",2016-02-11,0,"Thu","2",2016,"6","winter"
"43",2016-02-12,1,"Fri","2",2016,"7","winter"
"44",2016-02-13,0,"Sat","2",2016,"7","winter"
"45",2016-02-14,0,"Sun","2",2016,"7","winter"
"46",2016-02-15,1,"Mon","2",2016,"7","winter"
"47",2016-02-16,0,"Tue","2",2016,"7","winter"
"48",2016-02-17,0,"Wed","2",2016,"7","winter"
"49",2016-02-18,3,"Thu","2",2016,"7","winter"
"50",2016-02-19,1,"Fri","2",2016,"8","winter"
"51",2016-02-20,0,"Sat","2",2016,"8","winter"
"52",2016-02-21,1,"Sun","2",2016,"8","winter"
"53",2016-02-22,0,"Mon","2",2016,"8","winter"
"54",2016-02-23,1,"Tue","2",2016,"8","winter"
"55",2016-02-24,0,"Wed","2",2016,"8","winter"
"56",2016-02-25,1,"Thu","2",2016,"8","winter"
"57",2016-02-26,2,"Fri","2",2016,"9","winter"
"58",2016-02-27,0,"Sat","2",2016,"9","winter"
"59",2016-02-28,0,"Sun","2",2016,"9","winter"
"60",2016-02-29,0,"Mon","2",2016,"9","winter"
"61",2016-03-01,1,"Tue","3",2016,"9","winter"
"62",2016-03-02,0,"Wed","3",2016,"9","winter"
"63",2016-03-03,0,"Thu","3",2016,"9","winter"
"64",2016-03-04,1,"Fri","3",2016,"10","winter"
"65",2016-03-05,0,"Sat","3",2016,"10","winter"
"66",2016-03-06,0,"Sun","3",2016,"10","winter"
"67",2016-03-07,1,"Mon","3",2016,"10","winter"
"68",2016-03-08,0,"Tue","3",2016,"10","winter"
"69",2016-03-09,0,"Wed","3",2016,"10","winter"
"70",2016-03-10,1,"Thu","3",2016,"10","winter"
"71",2016-03-11,1,"Fri","3",2016,"11","winter"
"72",2016-03-12,0,"Sat","3",2016,"11","winter"
"73",2016-03-13,0,"Sun","3",2016,"11","winter"
"74",2016-03-14,3,"Mon","3",2016,"11","winter"
"75",2016-03-15,1,"Tue","3",2016,"11","winter"
"76",2016-03-16,1,"Wed","3",2016,"11","winter"
"77",2016-03-17,0,"Thu","3",2016,"11","winter"
"78",2016-03-18,0,"Fri","3",2016,"12","winter"
"79",2016-03-19,0,"Sat","3",2016,"12","winter"
"80",2016-03-20,0,"Sun","3",2016,"12","winter"
"81",2016-03-21,2,"Mon","3",2016,"12","winter"
"82",2016-03-22,0,"Tue","3",2016,"12","winter"
"83",2016-03-23,1,"Wed","3",2016,"12","winter"
"84",2016-03-24,1,"Thu","3",2016,"12","winter"
"85",2016-03-25,1,"Fri","3",2016,"13","winter"
"86",2016-03-26,0,"Sat","3",2016,"13","winter"
"87",2016-03-27,0,"Sun","3",2016,"13","winter"
"88",2016-03-28,1,"Mon","3",2016,"13","winter"
"89",2016-03-29,0,"Tue","3",2016,"13","winter"
"90",2016-03-30,1,"Wed","3",2016,"13","winter"
"91",2016-03-31,0,"Thu","3",2016,"13","winter"
